"","index","metric2","base_stat","index_stat","count_stat","delta_stat_count","delta_stat_index","delta_stat"
"1","desai2002","B_",0.0307,0.0303,0.0296,0.036,0.013,-0.024
"2","desai2002","C_",0.7481,0.827,0.8031,0.074,0.105,0.03
"3","desai2002","D_",0.4961,0.6541,0.6062,0.222,0.318,0.079
"4","desai2002","R_",0.1025,0.1759,0.1659,0.619,0.716,0.06
"5","desai2002","sB",0.0293,0.0437,0.0647,1.208,0.491,-0.325
"6","fan2002","B_",0.0344,0.0337,0.0331,0.038,0.02,-0.018
"7","fan2002","C_",0.7551,0.784,0.7923,0.049,0.038,-0.01
"8","fan2002","D_",0.5102,0.568,0.5846,0.146,0.113,-0.028
"9","fan2002","R_",0.1151,0.1526,0.1654,0.437,0.326,-0.077
"10","fan2002","sB",0.0361,0.0547,0.0723,1.003,0.515,-0.243
"11","lee2006","B_",0.0138,0.0137,0.0138,0,0.007,0.007
"12","lee2006","C_",0.6041,0.7132,0.6912,0.144,0.181,0.032
"13","lee2006","D_",0.2081,0.4265,0.3824,0.838,1.049,0.115
"14","lee2006","R_",0.0155,0.0593,0.0395,1.548,2.826,0.501
"15","lee2006","sB",0.0023,0.0067,0.0019,-0.174,1.913,2.526
"16","quan2011","B_",0.0091,0.009,0.009,0.011,0.011,0
"17","quan2011","C_",0.807,0.8259,0.8254,0.023,0.023,0.001
"18","quan2011","D_",0.614,0.6518,0.6509,0.06,0.062,0.001
"19","quan2011","R_",0.1224,0.1466,0.1516,0.239,0.198,-0.033
"20","quan2011","sB",0.0222,0.0372,0.0297,0.338,0.676,0.253
"21","robusto2016","B_",0.0852,0.0833,0.0826,0.031,0.022,-0.008
"22","robusto2016","C_",0.801,0.8111,0.8166,0.019,0.013,-0.007
"23","robusto2016","D_",0.6021,0.6221,0.6333,0.052,0.033,-0.018
"24","robusto2016","R_",0.2425,0.2634,0.2742,0.131,0.086,-0.039
"25","robusto2016","sB",0.1631,0.1812,0.1879,0.152,0.111,-0.036
"26","tooth2008","B_",0.0994,0.0962,0.0969,0.025,0.032,0.007
"27","tooth2008","C_",0.7236,0.7567,0.7442,0.028,0.046,0.017
"28","tooth2008","D_",0.4472,0.5133,0.4885,0.092,0.148,0.051
"29","tooth2008","R_",0.144,0.187,0.1736,0.206,0.299,0.077
"30","tooth2008","sB",0.0991,0.1274,0.1213,0.224,0.286,0.05
"31","vonkorff1992","B_",0.0077,0.0078,0.0077,0,-0.013,-0.013
"32","vonkorff1992","C_",0.7901,0.7993,0.8043,0.018,0.012,-0.006
"33","vonkorff1992","D_",0.5802,0.5985,0.6086,0.049,0.032,-0.017
"34","vonkorff1992","R_",0.1019,0.1067,0.1151,0.13,0.047,-0.073
"35","vonkorff1992","sB",0.0139,0.0116,0.0159,0.144,-0.165,-0.27
