"","metric","value","ci_lb","ci_ub","index","model","metric2"
"1","D_base",0.4961,0.398,0.5974,"desai2002","base","D_"
"2","D_index",0.6541,0.5798,0.7381,"desai2002","index","D_"
"3","D_count",0.6062,0.5222,0.7048,"desai2002","count","D_"
"4","R_base",0.1025,0.0626,0.1571,"desai2002","base","R_"
"5","R_index",0.1759,0.1318,0.2416,"desai2002","index","R_"
"6","R_count",0.1659,0.1188,0.2391,"desai2002","count","R_"
"7","C_base",0.7481,0.699,0.7987,"desai2002","base","C_"
"8","C_index",0.827,0.7899,0.8691,"desai2002","index","C_"
"9","C_count",0.8031,0.7611,0.8524,"desai2002","count","C_"
"10","B_base",0.0307,0.0246,0.0367,"desai2002","base","B_"
"11","B_index",0.0303,0.0243,0.036,"desai2002","index","B_"
"12","B_count",0.0296,0.0238,0.0353,"desai2002","count","B_"
"13","sB_max_base",0.0293,-0.1584,0.2233,"desai2002","base","sB"
"14","sB_max_index",0.0437,-0.1361,0.2321,"desai2002","index","sB"
"15","sB_max_count",0.0647,-0.1167,0.2491,"desai2002","count","sB"
"16","sB_base_index",0.0148,-0.0032,0.0475,"desai2002","base","sB"
"17","sB_base_count",0.0365,0.0108,0.0718,"desai2002","index","sB"
"18","sB_count_index",-0.0225,-0.0513,0.0085,"desai2002","count","sB"
"19","D_base",0.5102,0.413,0.5989,"fan2002","base","D_"
"20","D_index",0.568,0.4853,0.649,"fan2002","index","D_"
"21","D_count",0.5846,0.505,0.6715,"fan2002","count","D_"
"22","R_base",0.1151,0.0743,0.1634,"fan2002","base","R_"
"23","R_index",0.1526,0.1068,0.2072,"fan2002","index","R_"
"24","R_count",0.1654,0.1201,0.2267,"fan2002","count","R_"
"25","C_base",0.7551,0.7065,0.7995,"fan2002","base","C_"
"26","C_index",0.784,0.7427,0.8245,"fan2002","index","C_"
"27","C_count",0.7923,0.7525,0.8358,"fan2002","count","C_"
"28","B_base",0.0344,0.0286,0.0399,"fan2002","base","B_"
"29","B_index",0.0337,0.0278,0.0391,"fan2002","index","B_"
"30","B_count",0.0331,0.0275,0.0385,"fan2002","count","B_"
"31","sB_max_base",0.0361,-0.1196,0.198,"fan2002","base","sB"
"32","sB_max_index",0.0547,-0.0976,0.2216,"fan2002","index","sB"
"33","sB_max_count",0.0723,-0.0787,0.2278,"fan2002","count","sB"
"34","sB_base_index",0.0193,-0.0023,0.057,"fan2002","base","sB"
"35","sB_base_count",0.0376,0.011,0.0689,"fan2002","index","sB"
"36","sB_count_index",-0.019,-0.0383,0.0095,"fan2002","count","sB"
"37","D_base",0.2081,0.1054,0.349,"lee2006","base","D_"
"38","D_index",0.4265,0.3233,0.5291,"lee2006","index","D_"
"39","D_count",0.3824,0.2867,0.5008,"lee2006","count","D_"
"40","R_base",0.0155,0.0029,0.0448,"lee2006","base","R_"
"41","R_index",0.0593,0.0317,0.0936,"lee2006","index","R_"
"42","R_count",0.0395,0.02,0.0735,"lee2006","count","R_"
"43","C_base",0.6041,0.5527,0.6745,"lee2006","base","C_"
"44","C_index",0.7132,0.6616,0.7645,"lee2006","index","C_"
"45","C_count",0.6912,0.6434,0.7504,"lee2006","count","C_"
"46","B_base",0.0138,0.0108,0.0167,"lee2006","base","B_"
"47","B_index",0.0137,0.0108,0.0166,"lee2006","index","B_"
"48","B_count",0.0138,0.0108,0.0167,"lee2006","count","B_"
"49","sB_max_base",0.0023,-0.2103,0.2161,"lee2006","base","sB"
"50","sB_max_index",0.0067,-0.2019,0.2182,"lee2006","index","sB"
"51","sB_max_count",0.0019,-0.206,0.2162,"lee2006","count","sB"
"52","sB_base_index",0.0045,-0.0017,0.0126,"lee2006","base","sB"
"53","sB_base_count",-4e-04,-0.0044,0.0108,"lee2006","index","sB"
"54","sB_count_index",0.0049,-0.005,0.011,"lee2006","count","sB"
"55","D_base",0.614,0.5209,0.6946,"quan2011","base","D_"
"56","D_index",0.6518,0.5683,0.7437,"quan2011","index","D_"
"57","D_count",0.6509,0.5656,0.7406,"quan2011","count","D_"
"58","R_base",0.1224,0.0817,0.1693,"quan2011","base","R_"
"59","R_index",0.1466,0.1047,0.2043,"quan2011","index","R_"
"60","R_count",0.1516,0.1075,0.21,"quan2011","count","R_"
"61","C_base",0.807,0.7605,0.8473,"quan2011","base","C_"
"62","C_index",0.8259,0.7841,0.8718,"quan2011","index","C_"
"63","C_count",0.8254,0.7828,0.8703,"quan2011","count","C_"
"64","B_base",0.0091,0.0073,0.0111,"quan2011","base","B_"
"65","B_index",0.009,0.0072,0.0109,"quan2011","index","B_"
"66","B_count",0.009,0.0072,0.0109,"quan2011","count","B_"
"67","sB_max_base",0.0222,-0.1893,0.2164,"quan2011","base","sB"
"68","sB_max_index",0.0372,-0.1718,0.2314,"quan2011","index","sB"
"69","sB_max_count",0.0297,-0.1736,0.2235,"quan2011","count","sB"
"70","sB_base_index",0.0153,0.0019,0.0445,"quan2011","base","sB"
"71","sB_base_count",0.0076,0.002,0.0413,"quan2011","index","sB"
"72","sB_count_index",0.0077,-0.0141,0.0183,"quan2011","count","sB"
"73","D_base",0.6021,0.5731,0.6308,"robusto2016","base","D_"
"74","D_index",0.6221,0.5938,0.6506,"robusto2016","index","D_"
"75","D_count",0.6333,0.6061,0.6617,"robusto2016","count","D_"
"76","R_base",0.2425,0.2185,0.268,"robusto2016","base","R_"
"77","R_index",0.2634,0.2392,0.2891,"robusto2016","index","R_"
"78","R_count",0.2742,0.2503,0.3013,"robusto2016","count","R_"
"79","C_base",0.801,0.7866,0.8154,"robusto2016","base","C_"
"80","C_index",0.8111,0.7969,0.8253,"robusto2016","index","C_"
"81","C_count",0.8166,0.803,0.8309,"robusto2016","count","C_"
"82","B_base",0.0852,0.081,0.0892,"robusto2016","base","B_"
"83","B_index",0.0833,0.0792,0.0874,"robusto2016","index","B_"
"84","B_count",0.0826,0.0784,0.0865,"robusto2016","count","B_"
"85","sB_max_base",0.1631,0.1231,0.204,"robusto2016","base","sB"
"86","sB_max_index",0.1812,0.1415,0.2221,"robusto2016","index","sB"
"87","sB_max_count",0.1879,0.1498,0.2295,"robusto2016","count","sB"
"88","sB_base_index",0.0216,0.0133,0.0321,"robusto2016","base","sB"
"89","sB_base_count",0.0297,0.0212,0.0442,"robusto2016","index","sB"
"90","sB_count_index",-0.0083,-0.0228,0.0016,"robusto2016","count","sB"
"91","D_base",0.4472,0.3836,0.5103,"tooth2008","base","D_"
"92","D_index",0.5133,0.4555,0.573,"tooth2008","index","D_"
"93","D_count",0.4885,0.4296,0.552,"tooth2008","count","D_"
"94","R_base",0.144,0.1076,0.1859,"tooth2008","base","R_"
"95","R_index",0.187,0.1474,0.2343,"tooth2008","index","R_"
"96","R_count",0.1736,0.136,0.2205,"tooth2008","count","R_"
"97","C_base",0.7236,0.6918,0.7552,"tooth2008","base","C_"
"98","C_index",0.7567,0.7277,0.7865,"tooth2008","index","C_"
"99","C_count",0.7442,0.7148,0.776,"tooth2008","count","C_"
"100","B_base",0.0994,0.0903,0.1084,"tooth2008","base","B_"
"101","B_index",0.0962,0.0871,0.105,"tooth2008","index","B_"
"102","B_count",0.0969,0.0878,0.1057,"tooth2008","count","B_"
"103","sB_max_base",0.0991,0.0175,0.181,"tooth2008","base","sB"
"104","sB_max_index",0.1274,0.0478,0.2098,"tooth2008","index","sB"
"105","sB_max_count",0.1213,0.042,0.2036,"tooth2008","count","sB"
"106","sB_base_index",0.0315,0.0155,0.0587,"tooth2008","base","sB"
"107","sB_base_count",0.0247,0.0098,0.0459,"tooth2008","index","sB"
"108","sB_count_index",0.007,-0.0067,0.0247,"tooth2008","count","sB"
"109","D_base",0.5802,0.4753,0.6842,"vonkorff1992","base","D_"
"110","D_index",0.5985,0.4965,0.7055,"vonkorff1992","index","D_"
"111","D_count",0.6086,0.5129,0.7126,"vonkorff1992","count","D_"
"112","R_base",0.1019,0.0657,0.1524,"vonkorff1992","base","R_"
"113","R_index",0.1067,0.0722,0.1605,"vonkorff1992","index","R_"
"114","R_count",0.1151,0.079,0.1714,"vonkorff1992","count","R_"
"115","C_base",0.7901,0.7377,0.8421,"vonkorff1992","base","C_"
"116","C_index",0.7993,0.7483,0.8527,"vonkorff1992","index","C_"
"117","C_count",0.8043,0.7564,0.8563,"vonkorff1992","count","C_"
"118","B_base",0.0077,0.0061,0.0095,"vonkorff1992","base","B_"
"119","B_index",0.0078,0.0061,0.0095,"vonkorff1992","index","B_"
"120","B_count",0.0077,0.0061,0.0095,"vonkorff1992","count","B_"
"121","sB_max_base",0.0139,-0.2094,0.2203,"vonkorff1992","base","sB"
"122","sB_max_index",0.0116,-0.2084,0.2201,"vonkorff1992","index","sB"
"123","sB_max_count",0.0159,-0.2054,0.223,"vonkorff1992","count","sB"
"124","sB_base_index",-0.0024,-0.0028,0.0066,"vonkorff1992","base","sB"
"125","sB_base_count",0.0021,-0.0015,0.016,"vonkorff1992","index","sB"
"126","sB_count_index",-0.0044,-0.017,0.005,"vonkorff1992","count","sB"
